最大章节,子标题,贡献文件,映射特征
发展基础,持续深化理论武装，党的全面领导不断加强,党委统战部十四五规划.md,占比85%
发展基础,持续深化理论武装，党的全面领导不断加强,纪委"十四五"规划.md,占比15%
发展基础,落实立德树人根本任务，人才培养成效显著,本科人才培养"十四五"发展规划-本科生院.md,占大篇幅
发展基础,落实立德树人根本任务，人才培养成效显著,研究生院十四五规划.md,作为补充
发展基础,深入实施人才强校战略，队伍结构持续优化,人力资源处"十四五"发展规划.md,完全对应
发展基础,强化基础研究优势，科研创新能力显著增强,"十四五"科技发展规划.md,占比80%
发展基础,强化基础研究优势，科研创新能力显著增强,发展规划处十四五规划.md,占比20%
发展基础,传承创新优秀文化，南大风格学术体系更具特色,党委统战部十四五规划.md,占比70%
发展基础,传承创新优秀文化，南大风格学术体系更具特色,社科处十四五发展规划.md,占比30%
发展基础,紧密对接国家需求，服务国家战略更加凸显,创新创业与国内合作发展规划.md,占比85%
发展基础,紧密对接国家需求，服务国家战略更加凸显,发展委员会"十四五"规划.md,占比15%
发展基础,扩大教育对外开放，国际交流合作深度拓展,国际处十四五规划.md,占大篇幅
发展基础,学科结构更加优化，学科内涵质量显著提升,社科处十四五发展规划.md,占比60%
发展基础,学科结构更加优化，学科内涵质量显著提升,"十四五"科技发展规划.md,占比40%
发展基础,有序推进依法治校，内部治理能力持续增强,纪委"十四五"规划.md,占大篇幅
发展基础,校园文化蓬勃发展，民生保障水平不断提高,后勤服务集团十四五规划.md,占比75%
发展基础,校园文化蓬勃发展，民生保障水平不断提高,资产管理处十四五规划.md,占比25%
发展基础,启动苏州校区建设，多校区协同取得新进展,基本建设处十四五规划.md,完全对应
发展环境,,党委统战部十四五规划.md,占比40%
发展环境,,本科人才培养"十四五"发展规划-本科生院.md,占比20%
发展环境,,人力资源处"十四五"发展规划.md,占比15%
发展环境,,"十四五"科技发展规划.md,占比25%
指导方针和主要目标,,党委统战部十四五规划.md,占比30%
指导方针和主要目标,,本科人才培养"十四五"发展规划-本科生院.md,占比25%
指导方针和主要目标,,人力资源处"十四五"发展规划.md,占比20%
指导方针和主要目标,,"十四五"科技发展规划.md,占比25%
建设任务,(一) 构建人才培养新体系,本科人才培养"十四五"发展规划-本科生院.md,占比70%
建设任务,(一) 构建人才培养新体系,研究生院十四五规划.md,占比20%
建设任务,(一) 构建人才培养新体系,学生就业指导中心"十四五"发展规划.md,作为补充
建设任务,(二) 优化队伍建设新机制,人力资源处"十四五"发展规划.md,占大篇幅
建设任务,(二) 优化队伍建设新机制,专家组织.md,作为补充
建设任务,(三) 构建科学研究新模式,"十四五"科技发展规划.md,占比80%
建设任务,(三) 构建科学研究新模式,发展规划处十四五规划.md,占比20%
建设任务,(四) 推动文化传承新提升,党委统战部十四五规划.md,占比60%
建设任务,(四) 推动文化传承新提升,文化传承相关文件.md,占比40%
建设任务,(五) 构筑一流学科新生态,社科处十四五发展规划.md,占比50%
建设任务,(五) 构筑一流学科新生态,审计处"十四五"规划.md,占比15%
建设任务,(五) 构筑一流学科新生态,保卫处"十四五规划".md,占比15%
建设任务,(五) 构筑一流学科新生态,基本建设处十四五规划.md,作为补充
建设任务,(五) 构筑一流学科新生态,资产管理处十四五规划.md,作为补充
建设任务,(六) 拓展开放办学新格局,国际处十四五规划.md,占比85%
建设任务,(六) 拓展开放办学新格局,国际评估.md,占比15%
建设任务,(七) 强化社会服务新贡献,创新创业与国内合作发展规划.md,占比70%
建设任务,(七) 强化社会服务新贡献,发展委员会"十四五"规划.md,占比30%
建设任务,(八) 打造多校区协同办学新格局,基本建设处十四五规划.md,占比60%
建设任务,(八) 打造多校区协同办学新格局,后勤服务集团十四五规划.md,占比30%
建设任务,(八) 打造多校区协同办学新格局,苏州校区.md,作为补充
建设任务,(九) 实现师生感受新提升,后勤服务集团十四五规划.md,占比50%
建设任务,(九) 实现师生感受新提升,保卫处"十四五规划".md,占比30%
建设任务,(九) 实现师生感受新提升,基本建设处十四五规划.md,作为补充
建设任务,(九) 实现师生感受新提升,资产管理处十四五规划.md,作为补充
建设任务,(十) 开创党的建设新局面,党委统战部十四五规划.md,占比40%
建设任务,(十) 开创党的建设新局面,纪委"十四五"规划.md,占比35%
建设任务,(十) 开创党的建设新局面,团委"十四五"发展规划.md,占比20%
建设任务,(十) 开创党的建设新局面,主题教育.md,作为补充
组织与保障,,党委统战部十四五规划.md,占比40%
组织与保障,,纪委"十四五"规划.md,占比30%
组织与保障,,人力资源处"十四五"发展规划.md,占比20%
组织与保障,,基本建设处十四五规划.md,作为补充
